"zcta5","cbsa","cbsaname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2000 census","zcta5 to cbsa alloc factor"
"65244"," "," ","CLIFTON HILL",37,0.084 
"65244","33620","Moberly, MO","CLIFTON HILL",405,0.916 
"65246"," "," ","DALTON",141,1 
"65247"," "," ","EXCELLO",567,1 
"65248","17860","Columbia, MO","FAYETTE",4596,1 
"65250","17860","Columbia, MO","FRANKLIN",650,1 
"65251","27620","Jefferson City, MO","FULTON",21045,1 
"65254"," "," ","GLASGOW",236,0.116 
"65254","17860","Columbia, MO","GLASGOW",1794,0.884 
"65255","17860","Columbia, MO","HALLSVILLE",2926,1 
"65256","17860","Columbia, MO","HARRISBURG",1518,1 
"65257","17860","Columbia, MO","HIGBEE",272,0.174 
"65257","33620","Moberly, MO","HIGBEE",1289,0.826 
"65258"," "," ","HOLLIDAY",520,1 
"65259","33620","Moberly, MO","HUNTSVILLE",2714,1 
"65260"," "," ","JACKSONVILLE",64,0.115 
"65260","33620","Moberly, MO","JACKSONVILLE",492,0.885 
"65261"," "," ","KEYTESVILLE",1055,1 
"65262","27620","Jefferson City, MO","KINGDOM CITY",502,1 
"65263"," "," ","MADISON",1889,0.985 
"65263","33620","Moberly, MO","MADISON",28,0.015 
"65264"," "," ","MARTINSBURG",28,0.032 
"65264","27620","Jefferson City, MO","MARTINSBURG",131,0.148 
"65264","33020","Mexico, MO","MARTINSBURG",724,0.82 
"65265"," "," ","MEXICO",106,0.007 
"65265","33020","Mexico, MO","MEXICO",15531,0.993 
"65270"," "," ","MOBERLY",57,0.003 
"65270","33620","Moberly, MO","MOBERLY",17242,0.997 
"65274","17860","Columbia, MO","NEW FRANKLIN",1757,1 
"65275"," "," ","PARIS",2772,1 
"65276"," "," ","PILOT GROVE",1505,1 
"65278","33620","Moberly, MO","RENICK",182,1 
"65279","17860","Columbia, MO","ROCHEPORT",1471,1 
"65280","33020","Mexico, MO","RUSH HILL",193,1 
"65281"," "," ","SALISBURY",3218,0.996 
"65281","17860","Columbia, MO","SALISBURY",10,0.003 
"65281","33620","Moberly, MO","SALISBURY",2,0.001 
"65282"," "," ","SANTA FE",153,1 
"65283"," "," ","STOUTSVILLE",443,1 
"65284","17860","Columbia, MO","STURGEON",2243,0.973 
"65284","33020","Mexico, MO","STURGEON",62,0.027 
"65285","33020","Mexico, MO","THOMPSON",738,1 
"65286"," "," ","TRIPLETT",198,1 
"65287"," "," ","WOOLDRIDGE",276,0.809 
"65287","27620","Jefferson City, MO","WOOLDRIDGE",65,0.191 
"65301","42740","Sedalia, MO","SEDALIA",31839,1 
"65305","47660","Warrensburg, MO","WHITEMAN AFB",3819,1 
"65320","32180","Marshall, MO","ARROW ROCK",91,1 
"65321","28140","Kansas City, MO-KS","BLACKBURN",77,0.162 
"65321","32180","Marshall, MO","BLACKBURN",398,0.838 
"65322"," "," ","BLACKWATER",671,1 
"65323"," "," ","CALHOUN",932,1 
"65324"," "," ","CLIMAX SPRINGS",1461,1 
"65325"," "," ","COLE CAMP",2880,0.998 
"65325","42740","Sedalia, MO","COLE CAMP",5,0.002 
"65326"," "," ","EDWARDS",1873,1 
"65327","28140","Kansas City, MO-KS","EMMA",123,0.444 
